experiment_id,condition,n,mean_kill_rate,sd_kill_rate,mean_survival,sd_survival,mean_kills,mean_damage,mean_ammo_eff,mean_latency_p99
DOE-005,memory=0.7_strength=0.7,30,8.026649502008954,3.672693067274563,8.548571428571426,1.163227328787336,1.1666666666666667,116.66666666666667,0.06222833395198452,0.0018417333333333337
DOE-005,memory=0.7_strength=0.9,30,9.317015930618282,3.9420623766734946,8.293333333333335,1.4045855000424117,1.3,130.0,0.0687372217852094,0.001604033333333334
DOE-005,memory=0.8_strength=0.8,30,7.966305363844033,4.7753631348012995,8.497142857142858,1.1492579376180283,1.1333333333333333,113.33333333333333,0.059895008809061845,0.001573733333333334
DOE-005,memory=0.9_strength=0.7,30,7.602563678201543,3.431137922530061,8.592380952380953,1.3498702381577077,1.1,110.0,0.05978968534743201,0.001859700000000001
DOE-005,memory=0.9_strength=0.9,30,8.50988982112815,3.883905556768559,8.497142857142858,1.5087378621431626,1.2333333333333334,123.33333333333333,0.06354862906047454,0.0017554666666666674
DOE-006,memory=0.3_strength=0.3,30,6.8339924801531815,5.28776578827839,8.455238095238096,1.7775190600704993,1.0333333333333334,103.33333333333333,0.05902005540213914,0.0019485000000000008
DOE-006,memory=0.3_strength=0.7,30,9.447884284570698,4.258184757003281,8.356190476190475,1.7496312402601313,1.3333333333333333,133.33333333333334,0.07424597127046986,0.001700000000000001
DOE-006,memory=0.5_strength=0.5,30,7.394115969183806,3.4663596849480993,8.767619047619046,1.1770915224669933,1.1,110.0,0.061440690702536174,0.0015819333333333342
DOE-006,memory=0.7_strength=0.3,30,7.733154906865788,4.929692921478418,8.36952380952381,1.5244465006926546,1.1333333333333333,113.33333333333333,0.06803029734009677,0.001738900000000001
DOE-006,memory=0.7_strength=0.7,30,7.902137108104948,4.467967142015296,8.354285714285716,1.5866721466817253,1.1333333333333333,113.33333333333333,0.062153869472485704,0.0015542666666666673
DOE-007,action_strategy=L0_memory,30,8.660562860466827,2.907150630222865,8.862857142857143,1.447974634402109,1.2666666666666666,126.66666666666667,0.07198755797927961,0.0014000000000000004
DOE-007,action_strategy=L0_only,30,9.07592601706127,2.750426565339564,8.607619047619048,1.459525403342669,1.3,130.0,0.07018664599933948,0.000303
DOE-007,action_strategy=L0_strength,30,8.255505917902205,4.164394409498609,8.647619047619047,1.3978033099694254,1.2,120.0,0.0665716790662611,0.0009556666666666672
DOE-007,action_strategy=full_agent,30,6.735849990470254,3.9702959783756526,8.683809523809522,1.6081063705462155,1.0,100.0,0.05611817597034315,0.001720833333333334
DOE-007,action_strategy=random,30,8.53865535528072,5.2466502226688645,8.855238095238095,1.4120011070947438,1.3,130.0,0.07558666608589208,0.0010041333333333337
DOE-008,action_strategy=L0_memory,30,43.34500179826625,6.591300034454952,20.210476190476193,6.679064872931226,14.366666666666667,1436.6666666666667,0.0,0.0019096666666666672
DOE-008,action_strategy=L0_only,30,36.78155160224046,4.874376616012843,15.418095238095239,4.907478865506017,9.366666666666667,936.6666666666666,0.0,0.0003054333333333333
DOE-008,action_strategy=L0_strength,30,42.21899976767194,5.896820283101668,21.513333333333332,7.977401167826941,14.933333333333334,1493.3333333333333,0.0,0.0010722333333333333
DOE-008,action_strategy=full_agent,30,42.387784627132206,7.511668624144033,17.12952380952381,5.618155616488511,11.9,1190.0,0.0,0.0018626000000000005
DOE-008,action_strategy=random,30,42.50628197230024,6.416417473569564,20.46,6.406143031753145,14.3,1430.0,0.0,0.0010709333333333338
DOE-009,m0.1_s0.1,30,40.83860650768443,6.7553919737177965,18.138095238095232,5.344408948970879,12.466666666666667,1246.6666666666667,0.0,0.0016763666666666677
DOE-009,m0.1_s0.5,30,43.68838030137331,6.81199863248192,20.00857142857143,6.3884490678025365,14.366666666666667,1436.6666666666667,0.0,0.0018596333333333339
DOE-009,m0.1_s0.9,30,42.34654880149558,5.627131975390641,17.80666666666667,5.233985639716014,12.6,1260.0,0.0,0.0017805000000000006
DOE-009,m0.5_s0.1,30,41.34611391913858,6.662288585731418,19.08952380952381,6.807247589984429,13.033333333333333,1303.3333333333333,0.0,0.0020194333333333333
DOE-009,m0.5_s0.5,30,43.576102543847234,8.110887791692777,19.901904761904767,5.886425340057602,14.4,1440.0,0.0,0.0015292666666666672
DOE-009,m0.5_s0.9,30,43.965534051686326,4.054827158729183,19.253333333333334,6.207301928535156,14.066666666666666,1406.6666666666667,0.0,0.0014973000000000005
DOE-009,m0.9_s0.1,30,42.45787811303003,7.846102767729504,19.344761904761906,6.864462158282753,13.5,1350.0,0.0,0.0015583333333333339
DOE-009,m0.9_s0.5,30,43.025683138902124,6.303061200582499,19.939999999999998,7.679220982951102,14.066666666666666,1406.6666666666667,0.0,0.0016262333333333342
DOE-009,m0.9_s0.9,30,43.34237723709955,5.814924681513523,18.60952380952381,6.09908027506901,13.4,1340.0,0.0,0.0014694333333333338
DOE-010,strategy=L0_only,30,38.99622475575237,4.597957288271537,12.951428571428568,3.022981643259194,8.4,840.0,0.0,0.00029456666666666676
DOE-010,strategy=burst_3,30,44.55310171617057,6.39418813986839,17.83047619047619,5.499356668066594,13.066666666666666,1306.6666666666667,0.0,0.0010500000000000004
DOE-010,strategy=burst_5,30,43.363049809780186,6.039956285853424,16.911428571428573,5.980118832651988,11.966666666666667,1196.6666666666667,0.0,0.0010471666666666672
DOE-010,strategy=random,30,42.16114017315577,6.742548025977869,18.297142857142852,7.3314515317418625,12.833333333333334,1283.3333333333333,0.0,0.0012430666666666673
DOE-010,strategy=sweep_lr,30,39.94452282196274,4.354975880466901,12.917142857142856,2.748397012173382,8.566666666666666,856.6666666666666,0.0,0.0006305666666666669
DOE-021,G01_burst_3_base,30,44.505840793121095,5.7030453029460695,20.04857142857143,5.177247631036717,14.866666666666667,1486.6666666666667,0.0,0.0010445333333333336
DOE-021,G02_burst_3_sweep,30,39.08198437214495,4.0387761802733255,15.902857142857146,4.706780710707804,10.3,1030.0,0.0,0.0006653000000000001
DOE-021,G03_adaptive_base,30,43.15557621965544,5.994880521156374,19.893333333333327,5.993578235160523,14.3,1430.0,0.0,0.0011820333333333337
